iter	RMSE
0	704.6799975
1	681.771558
2	665.7094346
3	654.3463156
4	637.4279362
5	622.7667457
6	608.0967872
7	599.1677716
8	587.6357412
9	573.5958595
10	561.7631076
11	552.3470467
12	540.9854024
13	530.0692415
14	518.2222729
15	511.7485044
16	499.7149863
17	490.1446458
18	479.7234512
19	472.6854566
20	461.6318401
21	451.1128165
22	437.3106122
23	423.5639421
24	415.6338764
25	406.3465325
26	395.9491285
27	387.4518202
28	378.0527906
29	369.3049166
30	360.7256219
31	349.4276687
32	339.0492942
33	333.3071317
34	327.7714801
35	320.5132709
36	309.9322512
37	304.3165845
38	297.0048789
39	289.8919584
40	284.2581599
41	278.9115378
42	272.7717026
43	264.9572317
44	259.4124256
45	253.4143304
46	248.4038843
47	243.7290327
48	238.1044726
49	234.7418994
50	229.9108815
51	225.5422464
52	221.3434048
53	215.0269696
54	209.9624721
55	205.0089676
56	201.7007356
57	198.3919694
58	194.4969099
59	188.7046486
60	184.1374223
61	178.8944391
62	175.2010682
63	171.5389633
64	165.8668849
65	162.5533885
66	159.0751502
67	155.5639881
68	151.3192802
69	147.9254453
70	144.0685976
71	141.1187547
72	138.5146191
73	136.5540208
74	133.3282748
75	130.697103
76	128.6571317
77	126.1530194
78	124.153884
79	121.3469373
80	119.1348288
81	117.1158894
82	113.6787442
83	111.3587677
84	109.2788216
85	106.169053
86	103.1734359
87	100.974345
88	98.04937212
89	96.38716797
90	94.57912758
91	92.25768327
92	90.31271836
93	89.19404466
94	88.00974009
95	85.85636538
96	84.04957977
97	81.99840372
98	79.92721944
99	78.27044223
100	77.11231112
101	74.870678
102	73.13813838
103	72.07336629
104	70.76001541
105	69.71108334
106	68.6164229
107	67.56948233
108	66.72061616
109	65.23822421
110	64.31369855
111	62.63873691
112	60.82221221
113	59.97387981
114	58.76008047
115	57.57676768
116	56.59207357
117	55.44237541
118	54.64935579
119	53.80190641
120	52.7351579
121	51.47681523
122	50.64527116
123	49.522097
124	48.83896976
125	47.80853369
126	46.96856098
127	45.8598998
128	45.14286027
129	44.14236277
130	43.52304201
131	42.66108142
132	41.72504152
133	40.90846276
134	40.39177608
135	39.9278419
136	39.33296762
137	38.53229779
138	38.06790998
139	37.59421362
140	37.14385564
141	36.29634552
142	35.58940041
143	35.14060914
144	34.63226399
145	33.95259412
146	33.53950823
147	33.09816333
148	32.50623508
149	31.99162231
150	31.38732815
151	30.92694381
152	30.2651147
153	29.89662105
154	29.381622
155	29.03056555
156	28.69037185
157	28.06453916
158	27.71669624
159	27.3541844
160	26.8296151
161	26.49799887
162	25.9986446
163	25.68322184
164	25.12911806
165	24.74291639
166	24.4022313
167	24.12014791
168	23.83358634
169	23.54473701
170	23.25959216
171	22.98668201
172	22.58246088
173	22.30576194
174	21.9250618
175	21.65717833
176	21.39580804
177	21.136879
178	20.89529916
179	20.64411099
180	20.27633927
181	20.04384862
182	19.79493598
183	19.4343104
184	19.20275375
185	18.97179637
186	18.64816764
187	18.42364999
188	18.07273466
189	17.85164795
190	17.63756058
191	17.43043943
192	17.22508397
193	17.03097774
194	16.83559683
195	16.63484064
196	16.43851987
197	16.23878423
198	16.04567139
199	15.85762985
200	15.66514792
201	15.37274729
202	15.20121551
203	15.01125259
204	14.83528863
205	14.64732054
206	14.47761413
207	14.30774192
208	14.1310932
209	13.90006517
210	13.74564045
211	13.59280833
212	13.44274435
213	13.28448563
214	13.13031976
215	12.96291697
216	12.82138758
217	12.67323328
218	12.53405939
219	12.39984839
220	12.26448479
221	12.06520812
222	11.92372593
223	11.79415528
224	11.65591696
225	11.52431772
226	11.39018971
227	11.26181777
228	11.13135209
229	11.01241013
230	10.88619758
231	10.76149235
232	10.64754535
233	10.51200712
234	10.39995006
235	10.28230804
236	10.1745692
237	10.06006275
238	9.955369028
239	9.843984627
240	9.742162176
241	9.63461735
242	9.536319388
243	9.440382982
244	9.337004591
245	9.241495554
246	9.14110504
247	9.049180161
248	8.951931688
249	8.856146922
250	8.761239529
251	8.674527764
252	8.582340989
253	8.493996728
254	8.391044718
255	8.309283369
256	8.209633164
257	8.082646001
258	8.004968242
259	7.876412431
260	7.77430225
261	7.683682429
262	7.611048016
263	7.490731607
264	7.37573063
265	7.283168877
266	7.170839278
267	7.060520479
268	6.991738853
269	6.925918194
270	6.859095152
271	6.764107845
272	6.699364708
273	6.635684234
274	6.536617867
275	6.458297562
276	6.379190277
277	6.308701757
278	6.238758982
279	6.17108874
280	6.116805701
281	6.048231844
282	5.995677134
283	5.925549189
284	5.874674928
285	5.807548384
286	5.741992084
287	5.668642187
288	5.589961101
289	5.528274035
290	5.481169899
291	5.415220191
292	5.370296816
293	5.304976049
294	5.252806459
295	5.211481352
296	5.153409418
297	5.103444552
298	5.041004511
299	5.002566669
300	4.952729667
301	4.896575629
302	4.859759527
303	4.824320782
304	4.757086926
305	4.703635582
306	4.649279106
307	4.590899297
308	4.535382622
309	4.48521499
310	4.418355355
311	4.383165589
312	4.348664737
313	4.314840042
314	4.283104045
315	4.25053174
316	4.219974581
317	4.188618636
318	4.135632037
319	4.091162211
320	4.04192853
321	3.994757843
322	3.954796216
323	3.907787446
324	3.863389478
325	3.821558691
326	3.779103017
327	3.755263867
328	3.72891484
329	3.705964024
330	3.683453479
331	3.657940046
332	3.633429844
333	3.606818001
334	3.583200352
335	3.554996483
336	3.518567351
337	3.495812753
338	3.474236802
339	3.452633933
340	3.420607085
341	3.39949979
342	3.364990828
343	3.333429252
344	3.31297149
345	3.272452126
346	3.253551462
347	3.223248313
348	3.205631301
349	3.169901542
350	3.135798073
351	3.117524572
352	3.099649685
353	3.069052513
354	3.044086882
355	3.02551593
356	3.004919968
357	2.98517266
358	2.966467575
359	2.949733058
360	2.922427538
361	2.894523421
362	2.869120115
363	2.837857683
364	2.816584779
365	2.794508372
366	2.769888494
367	2.753585834
368	2.733030988
369	2.710983052
370	2.695664664
371	2.671837896
372	2.650927598
373	2.627667475
374	2.603192858
375	2.58982232
376	2.576874787
377	2.554036795
378	2.535198796
379	2.510362185
380	2.491344408
381	2.477277784
382	2.466381378
383	2.449620236
384	2.430892809
385	2.411833204
386	2.396995994
387	2.385409072
388	2.373257526
389	2.356783567
390	2.3455242
391	2.332030362
392	2.319269576
393	2.302127283
394	2.289960687
395	2.273259663
396	2.255673016
397	2.246362832
398	2.236226059
399	2.227588461
400	2.21921148
401	2.208618835
402	2.186039176
403	2.176601302
404	2.155620921
405	2.136348358
406	2.127541738
407	2.105800054
408	2.089000688
409	2.081234993
410	2.065143239
411	2.051024073
412	2.043633882
413	2.024560624
414	2.011804211
415	1.992549198
416	1.979001764
417	1.965024965
418	1.960123784
419	1.943215709
420	1.936563198
421	1.919874812
422	1.912906368
423	1.906457189
424	1.891445386
425	1.88354607
426	1.872760346
427	1.865978277
428	1.859915551
429	1.853528469
430	1.847403419
431	1.841077461
432	1.838004251
433	1.831451342
434	1.817785525
435	1.814841066
436	1.804628169
437	1.790627048
438	1.783802167
439	1.781295774
440	1.775474199
441	1.765778467
442	1.757746122
443	1.742525992
444	1.740209193
445	1.731188068
446	1.728248781
447	1.713101841
448	1.701673335
449	1.692667749
450	1.683430904
451	1.680630774
452	1.677762693
453	1.673358029
454	1.670027581
455	1.657988735
456	1.648312479
457	1.646314617
458	1.643558562
459	1.631415505
460	1.623536412
461	1.621146151
462	1.609708266
463	1.60703297
464	1.600708356
465	1.588293208
466	1.585019549
467	1.577311069
468	1.566836405
469	1.553728293
470	1.550669661
471	1.540917331
472	1.538631211
473	1.526637588
474	1.524002005
475	1.521651902
476	1.515109282
477	1.512125841
478	1.505258456
479	1.499042389
