iter	Passed	Remaining
0	193	193401
1	228	113818
2	263	87573
3	297	74029
4	335	66857
5	373	61957
6	412	58521
7	450	55839
8	485	53488
9	522	51716
10	557	50087
11	592	48812
12	627	47619
13	664	46794
14	698	45881
15	737	45349
16	772	44682
17	807	44059
18	840	43400
19	876	42961
20	911	42493
21	947	42128
22	987	41932
23	1031	41931
24	1067	41643
25	1103	41334
26	1141	41143
27	1177	40886
28	1214	40668
29	1248	40382
30	1282	40096
31	1317	39851
32	1352	39636
33	1385	39375
34	1419	39125
35	1454	38936
36	1491	38816
37	1527	38659
38	1559	38418
39	1596	38312
40	1632	38182
41	1676	38236
42	1711	38084
43	1748	37991
44	1795	38112
45	1839	38145
46	1880	38128
47	1924	38169
48	1968	38212
49	2006	38128
50	2041	37992
51	2077	37879
52	2116	37825
53	2151	37698
54	2185	37557
55	2222	37468
56	2260	37399
57	2296	37301
58	2341	37350
59	2376	37227
60	2412	37132
61	2450	37067
62	2484	36957
63	2519	36851
64	2554	36747
65	2590	36664
66	2625	36562
67	2659	36451
68	2693	36343
69	2729	36266
70	2766	36202
71	2799	36087
72	2832	35969
73	2864	35847
74	2898	35749
75	2932	35649
76	2968	35589
77	3001	35479
78	3035	35385
79	3072	35337
80	3108	35267
81	3142	35180
82	3176	35098
83	3211	35022
84	3247	34963
85	3285	34916
86	3318	34830
87	3350	34721
88	3385	34652
89	3419	34573
90	3452	34490
91	3486	34408
92	3522	34349
93	3554	34261
94	3594	34237
95	3628	34163
96	3660	34081
97	3697	34032
98	3729	33946
99	3762	33858
100	3795	33786
101	3841	33819
102	3878	33775
103	3912	33709
104	3949	33666
105	3987	33627
106	4022	33573
107	4058	33523
108	4093	33459
109	4130	33423
110	4166	33371
111	4207	33362
112	4243	33309
113	4291	33354
114	4338	33384
115	4370	33308
116	4407	33265
117	4442	33209
118	4479	33164
119	4512	33094
120	4546	33026
121	4583	32988
122	4618	32929
123	4654	32884
124	4689	32823
125	4724	32774
126	4762	32739
127	4800	32701
128	4834	32644
129	4869	32586
130	4909	32570
131	4944	32515
132	4978	32456
133	5011	32387
134	5043	32318
135	5077	32255
136	5112	32202
137	5144	32133
138	5178	32075
139	5214	32029
140	5246	31959
141	5281	31910
142	5313	31844
143	5346	31782
144	5386	31760
145	5441	31828
146	5480	31804
147	5515	31749
148	5554	31722
149	5588	31668
150	5623	31619
151	5661	31587
152	5703	31573
153	5745	31563
154	5783	31528
155	5817	31473
156	5852	31423
157	5886	31369
158	5930	31365
159	6019	31604
160	6066	31611
161	6110	31609
162	6156	31614
163	6194	31576
164	6236	31560
165	6250	31403
166	6289	31372
167	6328	31342
168	6363	31292
169	6401	31252
170	6436	31204
171	6450	31052
172	6490	31027
173	6532	31010
174	6573	30990
175	6611	30952
176	6647	30908
177	6681	30853
178	6718	30816
179	6754	30771
180	6796	30753
181	6835	30720
182	6870	30674
183	6911	30650
184	6950	30618
185	6990	30592
186	7029	30560
187	7065	30517
188	7099	30465
189	7131	30402
190	7163	30341
191	7199	30299
192	7233	30246
193	7265	30187
194	7300	30139
195	7336	30094
196	7370	30041
197	7402	29982
198	7434	29924
199	7470	29880
200	7503	29826
201	7536	29773
202	7568	29713
203	7601	29661
204	7637	29620
205	7671	29569
206	7706	29524
207	7744	29488
208	7778	29440
209	7810	29381
210	7842	29324
211	7875	29272
212	7910	29228
213	7946	29188
214	7984	29153
215	8017	29100
216	8050	29046
217	8082	28993
218	8118	28953
219	8182	29011
220	8225	28993
221	8260	28948
222	8295	28903
223	8329	28854
224	8361	28802
225	8395	28751
226	8428	28701
227	8461	28651
228	8495	28603
229	8529	28555
230	8562	28504
231	8597	28459
232	8632	28415
233	8666	28368
234	8699	28319
235	8733	28272
236	8765	28218
237	8798	28169
238	8830	28116
239	8863	28067
240	8900	28029
241	8936	27992
242	8970	27943
243	9002	27892
244	9038	27852
245	9073	27809
246	9105	27760
247	9139	27712
248	9173	27667
249	9208	27625
250	9241	27576
251	9280	27547
252	9314	27502
253	9347	27453
254	9382	27412
255	9417	27368
256	9451	27324
257	9486	27281
258	9519	27235
259	9556	27198
260	9593	27162
261	9627	27118
262	9659	27068
263	9693	27023
264	9727	26980
265	9760	26933
266	9793	26887
267	9826	26838
268	9859	26791
269	9894	26751
270	9927	26705
271	9960	26659
272	9994	26616
273	10027	26570
274	10059	26521
275	10092	26474
276	10123	26424
277	10157	26380
278	10190	26333
279	10224	26290
280	10255	26241
281	10290	26200
282	10324	26158
283	10358	26114
284	10391	26070
285	10424	26023
286	10457	25978
287	10490	25933
288	10523	25890
289	10556	25845
290	10588	25798
291	10619	25749
292	10652	25704
293	10687	25665
294	10719	25617
295	10733	25528
296	10767	25487
297	10803	25448
298	10843	25421
299	10858	25337
300	10914	25346
301	10955	25320
302	10997	25298
303	11017	25224
304	11056	25193
305	11095	25164
306	11133	25132
307	11168	25092
308	11205	25057
309	11240	25018
310	11278	24986
311	11313	24947
312	11349	24910
313	11399	24903
314	11448	24895
315	11494	24881
316	11539	24863
317	11591	24859
318	11633	24835
319	11677	24815
320	11730	24812
321	11793	24832
322	11847	24832
323	11892	24812
324	11928	24774
325	11966	24741
326	12004	24706
327	12042	24673
328	12078	24634
329	12115	24597
330	12151	24559
331	12190	24527
332	12229	24494
333	12262	24452
334	12294	24406
335	12329	24364
336	12362	24321
337	12395	24278
338	12428	24233
339	12460	24188
340	12493	24145
341	12528	24104
342	12561	24061
343	12593	24015
344	12627	23973
345	12660	23930
346	12692	23886
347	12724	23840
348	12758	23799
349	12793	23759
350	12828	23720
351	12866	23685
352	12898	23641
353	12932	23600
354	12970	23566
355	13006	23528
356	13038	23484
357	13070	23439
358	13103	23396
359	13138	23357
360	13177	23324
361	13222	23304
362	13257	23264
363	13294	23229
364	13330	23191
365	13365	23151
366	13399	23111
367	13434	23072
368	13471	23035
369	13512	23007
370	13545	22965
371	13579	22924
372	13616	22888
373	13649	22847
374	13689	22815
375	13725	22777
376	13757	22733
377	13792	22695
378	13832	22664
379	13865	22623
380	13899	22581
381	13934	22542
382	13967	22501
383	14000	22459
384	14032	22415
385	14067	22376
386	14101	22336
387	14138	22300
388	14171	22258
389	14203	22215
390	14239	22178
391	14273	22138
392	14305	22094
393	14338	22053
394	14370	22011
395	14405	21972
396	14438	21930
397	14472	21889
398	14504	21847
399	14537	21805
400	14570	21764
401	14607	21729
402	14643	21692
403	14678	21654
404	14712	21614
405	14750	21581
406	14785	21542
407	14819	21502
408	14855	21466
409	14889	21426
410	14924	21387
411	14958	21347
412	14993	21309
413	15027	21271
414	15064	21236
415	15097	21194
416	15136	21162
417	15177	21132
418	15216	21099
419	15253	21064
420	15296	21036
421	15338	21009
422	15381	20980
423	15420	20948
424	15456	20912
425	15494	20877
426	15531	20842
427	15568	20806
428	15601	20765
429	15635	20725
430	15670	20688
431	15707	20652
432	15742	20614
433	15776	20574
434	15814	20540
435	15851	20504
436	15886	20466
437	15924	20433
438	15962	20398
439	15999	20363
440	16036	20328
441	16075	20294
442	16110	20255
443	16146	20219
444	16187	20188
445	16221	20149
446	16255	20110
447	16292	20075
448	16329	20038
449	16364	20001
450	16398	19962
451	16432	19922
452	16469	19887
453	16504	19849
454	16538	19809
455	16571	19769
456	16605	19730
457	16641	19694
458	16674	19653
459	16709	19615
460	16744	19577
461	16781	19542
462	16820	19509
463	16854	19469
464	16888	19430
465	16923	19393
466	16959	19355
467	16992	19316
468	17031	19283
469	17090	19271
470	17132	19242
471	17168	19205
472	17201	19165
473	17237	19128
474	17273	19091
475	17306	19052
476	17341	19014
477	17379	18978
478	17418	18946
479	17464	18919
